Time,F_Scale,Location,County,State,Lat,Lon,Comments
0057,UNK,5 SE MAYERSVILLE,ISSAQUENA,MS,32.84,-91,*** 16 FATAL *** A LONG TRACK EF4 TORNADO DEVELOPED OVER NORTHERN ISSAQUENA COUNTY AND TRACKED 59.4 MILES THROUGH SHARKEY AND HUMPHREYS COUNTIES... ENDING IN NORTHERN H (JAN)
0058,UNK,3 SE MAYERSVILLE,ISSAQUENA,MS,32.87,-91,A TORNADO WAS SEEN NEAR WILLETT ROAD. (JAN)
0105,UNK,ROLLING FORK,SHARKEY,MS,32.91,-90.87,VARIOUS REPORTS OF CATASTROPHIC DAMAGE IN AND AROUND ROLLING FORK... MS. (JAN)
0119,UNK,2 SW HILLVILLE,HAYWOOD,TN,35.42,-89.2,SHORT-LIVED EF-1 TORNADO UPROOTED AND/OR SNAPPED NUMEROUS TREES AND DAMAGED THE ROOFS TO TWO HOUSES... A BARN... AND AN OUTBUILDING NEAR JIM HARDISTER ROAD IN SOUTHEAST (MEG)
0125,UNK,5 E CROWDER,PANOLA,MS,34.16,-90.05,EF1 TORNADO WITH A PATH LENGTH OF 8.4 MILES AND A MAXIMUM ESTIMATED WIND SPEED OF 95 MPH. (MEG)
0137,UNK,SILVER CITY,HUMPHREYS,MS,33.1,-90.5,*** 1 FATAL... 2 INJ *** BROADCAST MEDIA REPORTS THAT AN ADULT MALE DIED... AND TWO CHILDREN WERE IN CRITICAL CONDITION AFTER BEING TRAPPED IN A TORNADO DAMAGED HOME. A (JAN)
0138,UNK,5 E COURTLAND,PANOLA,MS,34.24,-89.85,EF-1 TORNADO WITH A PATH LENGTH OF 6.2 MILES AND A MAXIMUM ESTIMATED WIND SPEED OF 110 MPH. (MEG)
0147,UNK,4 WSW BURGESS,PANOLA,MS,34.32,-89.73,EF-1 TORNADO MOVED WITH A PATH LENGTH OF 4.1 MILES AND A MAXIMUM ESTIMATED WIND SPEED OF 100 MPH. TORNADO CROSSED INTO LAFAYETTE COUNTY. (MEG)
0159,UNK,4 S CRUGER,HOLMES,MS,33.26,-90.23,TREES DOWN BETWEEN CRUGER AND TCHULA. (JAN)
0212,UNK,2 WSW BLACK HAWK,CARROLL,MS,33.31,-90.04,*** 3 FATAL... 5 INJ *** AN EF3 TORNADO DEVELOPED NEAR BLACKHAWK IN CARROLL COUNTY AND TRACKED 29.2 MILES NORTHEASTWARD THROUGH THE WINONA AREA IN MONTGOMERY COUNTY... (JAN)
0232,UNK,2 SSW WINONA,MONTGOMERY,MS,33.46,-89.74,CORRECTS PREVIOUS TORNADO REPORT FROM 2 SSW WINONA. THERE WAS MAJOR DAMAGE TO HOMES ALONG US HIGHWAY 51... AND A CHURCH OFF OF HWY 51 WAS COMPLETELY DESTROYED. (JAN)
0238,UNK,5 N BLUE SPRINGS,UNION,MS,34.47,-88.87,EF-1 TORNADO WITH A PATH LENGTH OF 0.7 MILES AND A MAXIMUM ESTIMATED WIND SPEED OF 90 MPH. (MEG)
0245,UNK,4 NE SHERMAN,LEE,MS,34.4,-88.79,EF1 TORNADO DAMAGED NUMEROUS TREES AND SEVERAL HOMES ALONG A 14.7 MILE TRACK. MAXIMUM ESTIMATED WIND SPEEDS WERE 100 MPH. (MEG)
0253,UNK,3 E WINONA,MONTGOMERY,MS,33.48,-89.68,TREES AND POWERLINES DOWN. POSSIBLE HOUSE DAMAGE EAST OF WINONA. (JAN)
0338,UNK,5 ENE TREBLOC,CHICKASAW,MS,33.85,-88.76,EF3 TORNADO PRODUCED WIDESPREAD... SIGNIFICANT DAMAGE ALONG A 36.9 MILE PATH FROM FAR EASTERN CHICKASAW COUNTY... THROUGH MONROE COUNTY... AND ENDING IN FAR SOUTHEAST I (MEG)
0354,UNK,1 SSW SAINT FLORIAN,LAUDERDALE,AL,34.85,-87.63,EF2 TORNADO WITH MAX WINDS 120 MPH. (HUN)
0411,UNK,5 E KILLEN,LAUDERDALE,AL,34.86,-87.45,TRAINED WEATHER SPOTTER INTERCEPTED A TORNADO ALONG HIGHWAY 72 NEAR CENTER STAR CEMETERY. (HUN)
0444,UNK,1 NNW BEAR CREEK,MARION,AL,34.28,-87.72,TREES DOWN... BLOCKING HWY 172... NEAR HWY 241. LOCATION CONSISTENT WITH TDS WEST OF BEAR CREEK. (BMX)
0505,UNK,FAYETTEVILLE,LINCOLN,TN,35.15,-86.56,EF2 TORNADO WITH MAX WINDS 118 MPH. (HUN)
0510,UNK,5 SE MOULTON,LAWRENCE,AL,34.44,-87.21,SPOTTER REPORTED A POSSIBLE TORNADO ALONG HIGHWAY 157 NEAR MOULTON. (HUN)
0524,UNK,3 SW ESTILL SPRINGS,FRANKLIN,TN,35.23,-86.17,EF-1 TORNADO THAT MOVED THROUGH FRANKLIN COUNTY TN SOUTHWEST OF ESTILL SPRINGS. (HUN)
0526,UNK,2 NW HARTSELLE,MORGAN,AL,34.46,-86.96,*** 1 FATAL *** CORRECTS PREVIOUS TORNADO REPORT FROM 2 NW HARTSELLE. A TORNADO TOUCHED DOWN IN EASTERN LAWRENCE COUNTY AND PRODUCED EXTENSIVE DAMAGE IN WESTERN MORGAN (HUN)
0530,UNK,2 NNW HARTSELLE,MORGAN,AL,34.46,-86.96,TRACTOR TRAILER OVERTURNED ON NW VEST RD WITH ENTRAPMENT. (HUN)
0533,UNK,3 ESE FALKVILLE,MORGAN,AL,34.36,-86.87,A NWS STORM SURVEY TEAM CONCLUDED THAT AN EF-2 TORNADO WITH MAX WINDS OF 132 MPH OCCURRED FROM 12:33-12:36 AM DUE EAST OF FALKVILLE... AL. (HUN)
0548,UNK,9 NW UNION GROVE,MORGAN,AL,34.48,-86.57,A NWS DAMAGE SURVEY TRACKED TORNADO DAMAGE IN NORTHEASTERN MORGAN COUNTY... NEAR THE LACEYS SPRINGS COMMUNITY. DAMAGE WAS CONSISTENT WITH EF-1 WINDS OF 94 MPH. (HUN)
0606,UNK,4 SSE NEW HOPE,MARSHALL,AL,34.49,-86.38,TORNADO REPORTED ON THE GROUND IN THE TOWN OF HEBRON. (HUN)
0628,UNK,FLAT ROCK,JACKSON,AL,34.79,-85.73,EF - 1 TORNADO THAT MOVED THROUGH PORTIONS OF JACKSON AND DEKALB COUNTIES. (HUN)
